iter	Passed	Remaining
0	1	105
1	1	96
2	2	96
3	3	89
4	4	88
5	5	86
6	6	86
7	7	84
8	8	83
9	9	81
10	9	80
11	10	79
12	11	78
13	12	76
14	13	76
15	14	75
16	15	75
17	16	74
18	17	73
19	18	72
20	19	71
21	20	71
22	21	70
23	21	69
24	22	68
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	28	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	35	54
39	35	53
40	36	52
41	37	51
42	38	50
43	39	49
44	39	48
45	40	47
46	41	46
47	42	45
48	43	44
49	43	43
50	44	43
51	45	42
52	46	41
53	47	40
54	48	39
55	48	38
56	49	37
57	50	36
58	51	35
59	52	34
60	53	33
61	53	33
62	54	32
63	55	31
64	56	30
65	58	29
66	58	28
67	59	28
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	22
74	66	22
75	66	21
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	72	14
83	73	14
84	74	13
85	75	12
86	76	11
87	77	10
88	78	9
89	79	8
90	79	7
91	80	7
92	81	6
93	82	5
94	83	4
95	84	3
96	84	2
97	86	1
98	86	0
99	87	0
